date_month,model_company,adoption_rate_pct,mom_change_pp
2023-01-01,Anthropic,0.17,0
2023-01-01,DeepSeek,0,0
2023-01-01,Google,4.73,0
2023-01-01,OpenAI,2.06,0
2023-01-01,xAI,0.84,0
2023-02-01,Anthropic,0.17,0
2023-02-01,DeepSeek,0,0
2023-02-01,Google,4.75,0.02
2023-02-01,OpenAI,7.74,5.68
2023-02-01,xAI,0.89,0.05
2023-03-01,Anthropic,0.28,0.11
2023-03-01,DeepSeek,0,0
2023-03-01,Google,4.62,-0.14
2023-03-01,OpenAI,17.65,9.91
2023-03-01,xAI,1.05,0.16
2023-04-01,Anthropic,0.19,-0.09
2023-04-01,DeepSeek,0,0
2023-04-01,Google,4.81,0.19
2023-04-01,OpenAI,21.64,3.99
2023-04-01,xAI,1.03,-0.02
2023-05-01,Anthropic,0.29,0.11
2023-05-01,DeepSeek,0,0
2023-05-01,Google,4.73,-0.08
2023-05-01,OpenAI,23.62,1.97
2023-05-01,xAI,1.01,-0.02
2023-06-01,Anthropic,0.27,-0.02
2023-06-01,DeepSeek,0,0
2023-06-01,Google,4.76,0.03
2023-06-01,OpenAI,23.09,-0.53
2023-06-01,xAI,1.03,0.02
2023-07-01,Anthropic,0.43,0.16
2023-07-01,DeepSeek,0,0
2023-07-01,Google,4.67,-0.09
2023-07-01,OpenAI,24.69,1.6
2023-07-01,xAI,1.08,0.04
2023-08-01,Anthropic,0.39,-0.04
2023-08-01,DeepSeek,0,0
2023-08-01,Google,4.63,-0.04
2023-08-01,OpenAI,25.62,0.93
2023-08-01,xAI,1.16,0.08
2023-09-01,Anthropic,0.96,0.57
2023-09-01,DeepSeek,0,0
2023-09-01,Google,4.68,0.05
2023-09-01,OpenAI,26.76,1.14
2023-09-01,xAI,1.1,-0.05
2023-10-01,Anthropic,1.13,0.17
2023-10-01,DeepSeek,0,0
2023-10-01,Google,4.6,-0.08
2023-10-01,OpenAI,27.47,0.71
2023-10-01,xAI,1.08,-0.02
2023-11-01,Anthropic,1.34,0.21
2023-11-01,DeepSeek,0,0
2023-11-01,Google,4.93,0.33
2023-11-01,OpenAI,28.2,0.73
2023-11-01,xAI,1.1,0.02
2023-12-01,Anthropic,1.4,0.06
2023-12-01,DeepSeek,0,0
2023-12-01,Google,4.96,0.03
