date_month,sector,adoption_rate_pct,mom_change_pp
2023-01-01,Accommodation and food services,1.74,0
2023-01-01,Construction,1.27,0
2023-01-01,Finance and insurance,8.65,0
2023-01-01,Health care,3.88,0
2023-01-01,Manufacturing,4.31,0
2023-01-01,Retail,5.29,0
2023-01-01,Technology and media,15.37,0
2023-02-01,Accommodation and food services,3.98,2.24
2023-02-01,Construction,2.23,0.95
2023-02-01,Finance and insurance,13.73,5.08
2023-02-01,Health care,5.03,1.15
2023-02-01,Manufacturing,6.87,2.56
2023-02-01,Retail,8.16,2.87
2023-02-01,Technology and media,24.74,9.37
2023-03-01,Accommodation and food services,6.04,2.05
2023-03-01,Construction,4.84,2.61
2023-03-01,Finance and insurance,27.97,14.23
2023-03-01,Health care,9.66,4.63
2023-03-01,Manufacturing,13,6.12
2023-03-01,Retail,13.48,5.31
2023-03-01,Technology and media,40.94,16.21
2023-04-01,Accommodation and food services,7.55,1.52
2023-04-01,Construction,7.22,2.38
2023-04-01,Finance and insurance,32.8,4.84
2023-04-01,Health care,10.9,1.25
2023-04-01,Manufacturing,15.77,2.77
2023-04-01,Retail,16.49,3.01
2023-04-01,Technology and media,46.91,5.97
2023-05-01,Accommodation and food services,8.84,1.29
2023-05-01,Construction,6.74,-0.47
2023-05-01,Finance and insurance,35.03,2.22
2023-05-01,Health care,13.86,2.96
2023-05-01,Manufacturing,16.54,0.77
2023-05-01,Retail,16.16,-0.34
2023-05-01,Technology and media,49.7,2.79
2023-06-01,Accommodation and food services,7.67,-1.18
2023-06-01,Construction,6.71,-0.04
2023-06-01,Finance and insurance,33.85,-1.18
2023-06-01,Health care,14.62,0.76
2023-06-01,Manufacturing,16.98,0.44
2023-06-01,Retail,17.17,1.01
2023-06-01,Technology and media,50.19,0.49
2023-07-01,Accommodation and food services,8.02,0.36
2023-07-01,Construction,7.59,0.88
2023-07-01,Finance and insurance,37.75,3.9
2023-07-01,Health care,15.7,1.08
2023-07-01,Manufacturing,19.03,2.05
2023-07-01,Retail,18.32,1.15
2023-07-01,Technology and media,51.98,1.78
2023-08-01,Accommodation and food services,9.06,1.04
2023-08-01,Construction,8.94,1.35
2023-08-01,Finance and insurance,38.92,1.17
2023-08-01,Health care,15.87,0.18
2023-08-01,Manufacturing,19.92,0.89
2023-08-01,Retail,17.41,-0.91
2023-08-01,Technology and media,51.73,-0.24
2023-09-01,Accommodation and food services,12.57,3.51
2023-09-01,Construction,10.46,1.52
2023-09-01,Finance and insurance,39.18,0.27
2023-09-01,Health care,17.16,1.29
2023-09-01,Manufacturing,21.38,1.46
2023-09-01,Retail,19.13,1.72
2023-09-01,Technology and media,53.65,1.92
2023-10-01,Accommodation and food services,13.44,0.87
2023-10-01,Construction,10.75,0.29
2023-10-01,Finance and insurance,39.92,0.74
2023-10-01,Health care,17.42,0.26
2023-10-01,Manufacturing,22.48,1.1
2023-10-01,Retail,17.91,-1.22
2023-10-01,Technology and media,55.36,1.71
2023-11-01,Accommodation and food services,12.57,-0.88
2023-11-01,Construction,11.1,0.35
2023-11-01,Finance and insurance,41.41,1.49
2023-11-01,Health care,17.52,0.09
2023-11-01,Manufacturing,23.43,0.95
2023-11-01,Retail,20.1,2.19
2023-11-01,Technology and media,57.13,1.77
2023-12-01,Accommodation and food services,14.18,1.61
2023-12-01,Construction,12.35,1.26
2023-12-01,Finance and insurance,43.13,1.72
2023-12-01,Health care,18.45,0.93
2023-12-01,Manufacturing,24.73,1.3
2023-12-01,Retail,22.89,2.79
2023-12-01,Technology and media,58.02,0.89
2024-01-01,Accommodation and food services,14.18,0
2024-01-01,Construction,11.77,-0.58
2024-01-01,Finance and insurance,44.83,1.69
2024-01-01,Health care,19.88,1.43
2024-01-01,Manufacturing,25.71,0.99
2024-01-01,Retail,24.38,1.49
2024-01-01,Technology and media,59.06,1.04
2024-02-01,Accommodation and food services,14.45,0.27
2024-02-01,Construction,12.82,1.05
2024-02-01,Finance and insurance,45.26,0.44
2024-02-01,Health care,19.66,-0.22
2024-02-01,Manufacturing,25.55,-0.17
2024-02-01,Retail,24.28,-0.1
2024-02-01,Technology and media,59.65,0.59
2024-03-01,Accommodation and food services,15.77,1.31
2024-03-01,Construction,13.54,0.72
2024-03-01,Finance and insurance,45.8,0.54
2024-03-01,Health care,19.44,-0.22
2024-03-01,Manufacturing,26.45,0.9
2024-03-01,Retail,23.94,-0.34
2024-03-01,Technology and media,61.02,1.37
2024-04-01,Accommodation and food services,16.32,0.55
2024-04-01,Construction,14.02,0.49
2024-04-01,Finance and insurance,45.54,-0.26
2024-04-01,Health care,19.35,-0.09
2024-04-01,Manufacturing,26.3,-0.15
2024-04-01,Retail,24.71,0.78
2024-04-01,Technology and media,61.59,0.57
2024-05-01,Accommodation and food services,15.58,-0.74
2024-05-01,Construction,14.81,0.79
2024-05-01,Finance and insurance,45.75,0.21
2024-05-01,Health care,19.83,0.48
2024-05-01,Manufacturing,26.49,0.19
2024-05-01,Retail,25.93,1.22
2024-05-01,Technology and media,61.64,0.05
2024-06-01,Accommodation and food services,14.79,-0.79
2024-06-01,Construction,15.43,0.62
2024-06-01,Finance and insurance,46.99,1.24
2024-06-01,Health care,19.76,-0.07
2024-06-01,Manufacturing,27.09,0.6
2024-06-01,Retail,24.31,-1.62
2024-06-01,Technology and media,61.98,0.34
2024-07-01,Accommodation and food services,15.19,0.4
2024-07-01,Construction,14.8,-0.63
2024-07-01,Finance and insurance,48.6,1.61
2024-07-01,Health care,19.22,-0.54
2024-07-01,Manufacturing,27.65,0.56
2024-07-01,Retail,25.39,1.08
2024-07-01,Technology and media,63.06,1.07
2024-08-01,Accommodation and food services,15.56,0.37
2024-08-01,Construction,15.28,0.48
2024-08-01,Finance and insurance,49.76,1.16
2024-08-01,Health care,20.41,1.19
2024-08-01,Manufacturing,28.74,1.09
2024-08-01,Retail,24.7,-0.69
2024-08-01,Technology and media,63.51,0.46
2024-09-01,Accommodation and food services,17.45,1.88
2024-09-01,Construction,16.27,0.99
2024-09-01,Finance and insurance,49.77,0.01
2024-09-01,Health care,21.16,0.75
